,Unnamed: 0,text,embeddings,distances
40,40,"31 January – NASA reports the discovery of a super-Earth called TOI-715 b, located in the habitable zone of a red dwarf star about 137 light-years away.","[ 0.04351171 -0.00268928 -0.02094208 ... -0.00652294 -0.00991157
 -0.03026238]",0.14969919143029697
172,172,"12 August – An Earth-sized, ultra-short period exoplanet called TOI-6255b is found to be undergoing extreme tidal distortion, caused by the close proximity of its parent star. This has resulted in an egg-shaped planet, likely to be destroyed within 400 million years.","[-0.00406904 -0.00470274 -0.00985908 ...  0.01435503 -0.00541649
 -0.04010337]",0.19901872177315927
158,158,"15 July – Scientists announce the discovery of a lunar cave, approximately 250 miles (400 km) from Apollo 11's landing site.","[ 0.01730242  0.01178133  0.01496287 ...  0.01428157  0.01731528
 -0.02207152]",0.20609340824044842
206,206,"11 October – Astronomers observe the ""inside-out"" growth of NGC 1549 by using the James Webb Space Telescope. Researchers assume that it could solve the mystery of how these complex structures are being formed from gas clouds.","[ 0.01648301  0.00389292  0.0077     ...  0.01748678 -0.00517075
 -0.03262263]",0.20780860955383096
212,212,"17 October – Scientists observe a black hole corona using NASA's Imaging X-ray Polarimetry Explorer, and determine its shape for the first time.","[ 0.00690626  0.00806278  0.00601587 ...  0.02744105  0.01382566
 -0.01888543]",0.21124099162235122
125,125,15 May – Astronomers report an overview of preliminary analytical studies on returned samples of asteroid 101955 Bennu by the OSIRIS-REx mission.,"[-0.004989   -0.00555879 -0.00851377 ...  0.01144886  0.00401836
 -0.03731481]",0.21194624517129235
205,205,"10 October – Scientists use a high-level machine learning model ""SHBoost"", to process data and estimate precise stellar properties for 217 million stars observed by the Gaia mission.","[-0.00975765  0.00422239 -0.00339672 ... -0.00330611 -0.01405868
 -0.01693059]",0.21929759481610334
196,196,"1 October – The European Southern Observatory (ESO) reports the discovery of a sub-Earth-mass planet orbiting Barnard's star, the closest single star to the Sun at six light-years away.","[ 0.02018378 -0.003002   -0.01294015 ...  0.01975654 -0.00983296
 -0.03889165]",0.21957352134890018
198,198,2 October – Scientists detect a new jet of carbon monoxide (CO) and previously unseen jets of carbon dioxide (CO2) gas on Centaur 29P by using the James Webb Space Telescope's Near-Infrared Spectrograph.,"[ 0.00229083  0.00220398 -0.01160163 ...  0.02579888 -0.0045325
 -0.00457511]",0.21986003554679245
217,217,23 October – Astronomers using NASA/ESA's James Webb Space Telescope detect the first brown dwarf candidates outside the Milky Way in NGC 602.,"[ 0.00998638 -0.00802076 -0.00758542 ...  0.01040193 -0.01340311
  0.00268128]",0.2211278561183586
207,207,12 October – The long-period comet C/2023 A3 (Tsuchinshan–ATLAS) makes its closest approach to Earth.,"[ 0.00439549  0.01016844 -0.0056365  ...  0.04199922  0.0097526
 -0.02572972]",0.22128723022248242
231,231,"21 November – The first close-up image of a star outside the Milky Way is reported, using the European Southern Observatory's Very Large Telescope Interferometer. The star WOH G64 is located in the Large Magellanic Cloud, about 160,000 light years away, and is shown to be surrounded by a torus-shaped cloud.","[ 0.00688584 -0.00352214 -0.00741399 ...  0.02626256 -0.01124312
 -0.02828276]",0.22156453552129796
126,126,"15 May – SPECULOOS-3 b, an exoplanet nearly identical in size to Earth, is discovered orbiting an ultracool dwarf star as small as Jupiter and located 55 light-years from Earth.","[ 0.02635649 -0.00513331  0.0003361  ...  0.00070934 -0.00982426
 -0.03256268]",0.22215931665468458
34,34,"24 January – The discovery of 85 exoplanet candidates based on data from the TESS observatory is reported. All have orbital periods of between 20 and 700 days, with temperatures similar to those of Solar System planets.","[ 0.01497358  0.00350377 -0.00313623 ...  0.01650202 -0.00626921
 -0.04085351]",0.22385428633703486
135,135,"30 May – NASA reports that the James Webb Space Telescope has discovered JADES-GS-z14-0, the most distant known galaxy, which existed only 290 million years after the Big Bang. Its redshift of 14.32 exceeds the previous record of 13.2, set by JADES-GS-z13-0.","[-0.00506828 -0.00891179 -0.01222072 ...  0.00429011 -0.00887796
 -0.00729454]",0.22571503196289877
